pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma,C11_mean,C11_sigma,C12_imag_mean,C12_imag_sigma,C22_mean,C22_sigma
157,493,156,12.246495831397,76.2137841127519,46.381477,698.0065,15039.94,2449.2878,-503.56113,348.28696,4220.47,679.16284
158,493,157,12.2463714871098,76.2137589262454,-567.3852,969.38416,16730.953,3018.0679,-383.40372,492.08337,4352.687,722.90894
159,493,158,12.2462471428226,76.2137337397388,-1075.3204,935.18225,17561.979,2805.6313,-334.48148,637.6573,5159.626,2061.5986
160,493,159,12.2461227985354,76.2137085532323,-1137.287,761.017,18052.408,3016.9214,-496.94446,740.14355,5772.0815,2303.7505
161,493,160,12.2459984542482,76.2136833667257,-636.69446,848.3117,17256.303,2468.786,-404.14813,819.78253,5979.6167,2257.008
162,493,161,12.245874109961,76.2136581802192,35.744446,804.7094,16651.29,2098.4414,-51.000004,877.08356,5474.161,1620.3
163,493,162,12.2457497656738,76.2136329937127,228.84814,757.59045,15858.128,1888.506,395.34445,601.31244,5289.0073,905.7629
164,493,163,12.2456254213866,76.2136078072061,272.25,737.02545,15542.616,1955.4717,316.06482,569.3447,5400.13,593.695
165,493,164,12.2455010770994,76.2135826206996,87.299995,529.46387,15194.095,1811.8947,184.83517,480.14194,5449.722,463.28708
166,493,165,12.2453767328122,76.213557434193,29.698147,592.7941,15170.224,1118.6489,-102.103714,519.15564,5735.598,620.81396
167,493,166,12.2452523885251,76.2135322476864,-147.3352,1056.0934,15177.344,1623.2391,-163.09631,609.31573,6166.159,850.33453
168,493,167,12.2451280442379,76.2135070611799,29.83888,1497.4406,15637.035,2739.3855,-108.251854,621.4618,6815.7812,1378.3654
169,493,168,12.2450036999507,76.2134818746733,186.81296,1422.5897,15436.994,3648.923,573.4352,1011.2759,6812.498,1691.2339
170,493,169,12.2448793556635,76.2134566881668,72.79446,1201.9369,15089.721,3582.9421,1101.3334,909.4553,6263.1055,1948.5839
171,493,170,12.2447550113763,76.2134315016602,-344.35187,700.0241,14100.895,2827.0063,1224.7611,952.95294,5218.3296,1623.8667
172,493,171,12.2446306670891,76.2134063151537,-482.3426,536.0881,13078.231,1559.9243,715.2648,1008.2129,4663.5464,1006.1467
173,493,172,12.2445063228019,76.2133811286471,-458.6463,526.1547,12462.602,1053.4199,691.16296,911.63983,4578.8257,733.1297
174,493,173,12.2443819785147,76.2133559421406,-243.46852,561.3994,12373.256,1790.5898,465.41296,800.6124,4649.87,463.5136
175,493,174,12.2442576342275,76.213330755634,-282.96112,854.3497,13097.072,2600.908,366.40186,755.0612,4618.902,434.6612
176,493,175,12.2441332899403,76.2133055691274,171.90186,883.0052,13982.13,2573.301,625.7833,1123.9287,4547.2944,449.91516
177,493,176,12.2440089456531,76.2132803826209,515.44073,894.6139,14112.008,2027.7885,1401.5927,1200.3167,4386.3813,529.4407
178,493,177,12.2438846013659,76.2132551961143,955.32776,351.06125,13434,1459.2389,1860.5704,559.2726,3952.9167,723.0788
179,493,178,12.2437602570788,76.2132300096077,1004.6148,324.58066,12073.985,1814.0448,1587.3481,565.96857,3616.6685,546.5756
180,493,179,12.2436359127916,76.2132048231012,1036.3982,336.95587,11240.978,1904.9885,1337.65,265.70203,3394.4944,367.7624
181,493,180,12.2435115685044,76.2131796365946,838.7889,418.75873,11323.63,2581.6663,1215.0333,382.8453,3314.087,458.3936
182,493,181,12.2433872242172,76.213154450088,565.0408,644.8567,12475.639,3365.1125,863.15,602.6991,3166.9814,393.362
183,493,182,12.24326287993,76.2131292635815,250.38518,425.5958,12999.93,3205.9468,24.033333,853.93835,3185.8425,298.8491
184,493,183,12.2431385356428,76.2131040770749,174.93518,316.8747,11921.428,3394.4023,-514.1667,634.5411,3075.4536,371.90198
185,493,184,12.2430141913556,76.2130788905683,268.0111,75.602776,9909.324,2194.7883,-652.73334,571.7542,2847.952,507.54605
186,493,185,12.2428898470684,76.2130537040617,358.05,154.29768,9041.833,814.1892,-515.9926,901.399,2700.7778,365.4038
187,493,186,12.2427655027812,76.2130285175552,374.08517,143.01219,8802.74,921.55164,-328.6889,926.6262,2613.824,394.4785
188,493,187,12.242641158494,76.2130033310486,543.42224,237.1005,9095.983,939.75244,-295.90372,982.7344,2761.9277,450.76184
189,493,188,12.2425168142068,76.212978144542,648.7611,381.41074,9338.576,1184.0725,-110.7963,805.5609,2967.05,638.68256
190,493,189,12.2423924699196,76.2129529580355,817.4574,305.80136,9718.015,1266.5493,47.88703,805.8236,3464.363,581.53467
191,493,190,12.2422681256324,76.2129277715289,612.03705,488.79477,10101.983,1233.4071,213.0074,702.7727,3693.9314,292.87863
192,493,191,12.2421437813453,76.2129025850223,255.49074,535.12146,10388.863,1446.1382,305.60556,433.1631,3626.561,393.86905
193,493,192,12.2420194370581,76.2128773985157,214.54816,483.26367,11208.1,1371.6678,33.916656,620.7003,3604.6777,434.80338
194,493,193,12.2418950927709,76.2128522120091,273.1926,489.77524,12124.526,1656.9701,-212.97409,558.85895,3748.6406,443.19568
195,493,194,12.2417707484837,76.2128270255025,699.8778,641.603,12627.83,1639.6586,-669.6278,549.96234,4204.344,521.42224
196,493,195,12.2416464041965,76.212801838996,663.8222,678.22906,13009.174,1671.2595,-665.6963,478.98245,4485.037,514.3724
197,493,196,12.2415220599093,76.2127766524894,479.6778,784.771,13515.616,2005.3806,-749.51666,414.04065,4921.754,577.09326
198,493,197,12.2413977156221,76.2127514659828,-0.20000331,547.7559,14901.891,2496.5447,-819.39075,523.62646,5278.7075,721.9691
199,493,198,12.2412733713349,76.2127262794762,-388.01666,445.7221,16306.146,1998.96,-667.57776,734.12646,5696.6094,561.4717
200,493,199,12.2411490270477,76.2127010929696,-348.8333,783.73254,18056.738,1778.3811,-685.37964,876.0191,5945.3906,441.8627
201,493,200,12.2410246827605,76.212675906463,-281.44998,810.7121,18804.727,1281.76,-289.78705,699.9024,5970.193,631.26135
202,493,201,12.2409003384733,76.2126507199565,-360.78146,874.3715,20115.426,1141.3412,212.47408,1089.1906,5945.159,793.3908
203,493,202,12.2407759941861,76.2126255334499,-471.28333,712.3364,20866.684,1832.6482,566.4889,1011.7437,5882.55,848.7857
204,493,203,12.2406516498989,76.2126003469433,-277.66852,963.6168,21634.795,1454.8217,864.8685,1011.97327,5675.096,757.0907
205,493,204,12.2405273056118,76.2125751604367,152.29445,883.98566,22225.588,1636.6965,356.64816,1203.8695,5535.4873,710.4028
206,493,205,12.2404029613246,76.2125499739301,407.4537,858.5552,21832.146,1382.7712,306.3389,991.0318,5345.285,508.68512
207,493,206,12.2402786170374,76.2125247874235,759.65924,969.5245,21671.6,1365.8711,143.34259,762.454,5750.0166,1217.7642
208,493,207,12.2401542727502,76.2124996009169,1146.2722,1092.5352,21776.176,1383.8274,231.87964,374.9686,6074.0483,1472.3516
